overall,candidate,state,dem_pct,dem_win,dem_ev,total_ev,label
0.528,Sanders,AK,0.4371553588933124,FALSE,0,303,Sanders: 303 EV
0.528,Sanders,AL,0.33160670315641705,FALSE,0,303,Sanders: 303 EV
0.528,Sanders,AR,0.3832175784382191,FALSE,0,303,Sanders: 303 EV
0.528,Sanders,AZ,0.4857471701162886,FALSE,0,303,Sanders: 303 EV
0.528,Sanders,CA,0.6510262925796008,TRUE,55,303,Sanders: 303 EV
0.528,Sanders,CO,0.5576737938925987,TRUE,9,303,Sanders: 303 EV
0.528,Sanders,CT,0.6029052852060688,TRUE,7,303,Sanders: 303 EV
0.528,Sanders,DC,0.955920720866685,TRUE,3,303,Sanders: 303 EV
0.528,Sanders,DE,0.5930722570359139,TRUE,3,303,Sanders: 303 EV
0.528,Sanders,FL,0.4949006862359309,FALSE,0,303,Sanders: 303 EV
0.528,Sanders,GA,0.46055607249635605,FALSE,0,303,Sanders: 303 EV
0.528,Sanders,HI,0.6573165893073046,TRUE,4,303,Sanders: 303 EV
0.528,Sanders,IA,0.5096457752392838,TRUE,6,303,Sanders: 303 EV
0.528,Sanders,ID,0.3585184744481633,FALSE,0,303,Sanders: 303 EV
0.528,Sanders,IL,0.6093998904277033,TRUE,20,303,Sanders: 303 EV
0.528,Sanders,IN,0.44077231503377196,FALSE,0,303,Sanders: 303 EV
0.528,Sanders,KS,0.4282317575123608,FALSE,0,303,Sanders: 303 EV
0.528,Sanders,KY,0.3849137971203015,FALSE,0,303,Sanders: 303 EV
0.528,Sanders,LA,0.36637406295768593,FALSE,0,303,Sanders: 303 EV
0.528,Sanders,MA,0.6790827385809188,TRUE,11,303,Sanders: 303 EV
0.528,Sanders,MD,0.6454548464705435,TRUE,10,303,Sanders: 303 EV
0.528,Sanders,ME,0.5724763070877613,TRUE,4,303,Sanders: 303 EV
0.528,Sanders,MI,0.5407577427766763,TRUE,16,303,Sanders: 303 EV
0.528,Sanders,MN,0.5529354659422556,TRUE,10,303,Sanders: 303 EV
0.528,Sanders,MO,0.4459501846413383,FALSE,0,303,Sanders: 303 EV
0.528,Sanders,MS,0.36050532271990826,FALSE,0,303,Sanders: 303 EV
0.528,Sanders,MT,0.44142800693296125,FALSE,0,303,Sanders: 303 EV
0.528,Sanders,NC,0.4939286764953448,FALSE,0,303,Sanders: 303 EV
0.528,Sanders,ND,0.35083998563252794,FALSE,0,303,Sanders: 303 EV
0.528,Sanders,NE,0.40907530436838335,FALSE,0,303,Sanders: 303 EV
0.528,Sanders,NH,0.5575558378399689,TRUE,4,303,Sanders: 303 EV
0.528,Sanders,NJ,0.5859698783279219,TRUE,14,303,Sanders: 303 EV
0.528,Sanders,NM,0.5039647899415823,TRUE,5,303,Sanders: 303 EV
0.528,Sanders,NV,0.5152461332392955,TRUE,6,303,Sanders: 303 EV
